id,constant,display_name,sort_name,country,continent,digits,date,date_text,date_precision,notes,source_url,category_tags,is_juggling,is_public
e-abd-halim-aqmar-faris-malaysia-127-2019-04-23,e,"Abd Halim, Aqmar Faris","Abd Halim, Aqmar Faris",Malaysia,Asia,127,2019-04-23,23 April 2019,day,1 min 4 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-halim-nurulhuda-malaysia-144-2019-04-23,e,"Abdul Halim, Nurulhuda","Abdul Halim, Nurulhuda",Malaysia,Asia,144,2019-04-23,23 April 2019,day,1 min 26 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-malek-nur-hannah-fatini-malaysia-66-2019-04-23,e,"Abdul Malek, Nur Hannah Fatini","Abdul Malek, Nur Hannah Fatini",Malaysia,Asia,66,2019-04-23,23 April 2019,day,44 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-rahim-fitratun-najahah-malaysia-148-2019-04-23,e,"Abdul Rahim, Fitratun Najahah","Abdul Rahim, Fitratun Najahah",Malaysia,Asia,148,2019-04-23,23 April 2019,day,1 min 48 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-rashid-ainin-ridwana-malaysia-48-2019-04-23,e,"Abdul Rashid, Ainin Ridwana","Abdul Rashid, Ainin Ridwana",Malaysia,Asia,48,2019-04-23,23 April 2019,day,26 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-rashid-nur-amirah-malaysia-39-2019-04-23,e,"Abdul Rashid, Nur Amirah","Abdul Rashid, Nur Amirah",Malaysia,Asia,39,2019-04-23,23 April 2019,day,19 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdul-rasid-amirah-liana-malaysia-106-2019-04-23,e,"Abdul Rasid, Amirah Liana","Abdul Rasid, Amirah Liana",Malaysia,Asia,106,2019-04-23,23 April 2019,day,2 min 10 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abdullah-siti-nur-aisyah-malaysia-23-2019-04-23,e,"Abdullah, Siti Nur Aisyah","Abdullah, Siti Nur Aisyah",Malaysia,Asia,23,2019-04-23,23 April 2019,day,1 min 5 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-abu-bakar-nur-syafikah-malaysia-132-2019-04-23,e,"Abu Bakar, Nur Syafikah","Abu Bakar, Nur Syafikah",Malaysia,Asia,132,2019-04-23,23 April 2019,day,1 min 26 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
e-adzleen-hadzry-nur-naisha-irdina-malaysia-211-2019-04-23,e,"Adzleen Hadzry, Nur Naisha Irdina","Adzleen Hadzry, Nur Naisha Irdina",Malaysia,Asia,211,2019-04-23,23 April 2019,day,2 min 12 sec,https://www.pi-world-ranking-list.com/index.php?page=lists&category=e&sort=digits,normal,false,true
